
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0008758	0.0020337	-0.0561236	-0.0099517	-0.0214922	-0.0226557	-0.0187697	-0.0033843	700.97
0.000829	0.0020176	-0.0563886	-0.0099888	-0.021647	-0.0228854	-0.0188114	-0.003365	713.5
0.0008481	0.0020451	-0.0569032	-0.009983	-0.0218686	-0.0231105	-0.0189991	-0.0033472	725.99
0.0008115	0.0021149	-0.057529	-0.0099397	-0.0221505	-0.0234375	-0.0190971	-0.0033172	738.49
0.0009033	0.0020793	-0.0582003	-0.0099241	-0.0224803	-0.0237047	-0.0193597	-0.0032912	750.98
0.0008945	0.0020819	-0.0589478	-0.0099845	-0.0227652	-0.0240378	-0.0195373	-0.0032568	763.48
0.0008927	0.0021097	-0.0598181	-0.0099565	-0.0231274	-0.0244893	-0.0198287	-0.0032197	776.0
0.0008724	0.0021714	-0.0607618	-0.0099165	-0.0234767	-0.0249405	-0.0200145	-0.0031847	788.5
0.0009136	0.0021534	-0.0616065	-0.0099701	-0.0240223	-0.0252367	-0.0203227	-0.0031469	801.02
0.000959	0.0021733	-0.0625877	-0.0099099	-0.0244245	-0.0256689	-0.0205211	-0.0031097	813.5
0.000949	0.0021477	-0.063459	-0.0099765	-0.0247794	-0.0261189	-0.0207788	-0.0030776	825.99
0.0009784	0.0021916	-0.0645171	-0.009921	-0.025206	-0.026511	-0.0210046	-0.0030344	838.97
0.0010308	0.0022383	-0.0655657	-0.0101706	-0.0257833	-0.0270919	-0.0212724	-0.0029743	851.46
0.0009007	0.0021505	-0.0664612	-0.0102987	-0.02619	-0.0274461	-0.0216026	-0.0029533	863.97
0.0008936	0.0021499	-0.0673855	-0.0100024	-0.0266004	-0.0278584	-0.021854	-0.0029208	876.47
0.0010237	0.0022551	-0.0683767	-0.0100674	-0.0267653	-0.0283617	-0.0219792	-0.0029003	888.96
0.0009881	0.0019478	-0.0697322	-0.0100332	-0.0273908	-0.0287137	-0.0224303	-0.0028427	901.45
0.0008948	0.0020578	-0.0702437	-0.0101199	-0.0280166	-0.0291809	-0.0226708	-0.0028107	913.95
0.001024	0.0020787	-0.0710359	-0.0100111	-0.0282725	-0.0293871	-0.0228962	-0.0027555	926.44
0.0010279	0.0022792	-0.0720322	-0.0100152	-0.0286505	-0.0298797	-0.0230403	-0.002729	938.95
0.0010223	0.0023048	-0.0729357	-0.009998	-0.029028	-0.030291	-0.0233182	-0.0026951	951.49
0.0011179	0.0022429	-0.0737539	-0.0100901	-0.0293271	-0.0306616	-0.0234714	-0.0026672	964.0
0.0010666	0.0023609	-0.0746197	-0.0100387	-0.0297436	-0.0310131	-0.0235507	-0.0026303	976.51
0.0011176	0.0023985	-0.075448	-0.0100162	-0.0301189	-0.0314397	-0.0240236	-0.0025877	989.06
0.0011257	0.0024125	-0.0763449	-0.0100186	-0.0304799	-0.0318101	-0.0241559	-0.0026813	1001.58
0.0011422	0.0023696	-0.0770576	-0.0100937	-0.0308686	-0.0321583	-0.0244165	-0.0025177	1014.08
0.0011108	0.002428	-0.0779378	-0.0100238	-0.0311726	-0.0325346	-0.0246391	-0.0024869	1026.59
0.0010918	0.0024145	-0.0787037	-0.0100347	-0.0332153	-0.033005	-0.0249955	-0.0024699	1039.11
0.0010705	0.0024043	-0.0796278	-0.0099199	-0.0320282	-0.0332833	-0.0251757	-0.0024369	1051.62
0.0011079	0.0023907	-0.0801484	-0.0100852	-0.0327053	-0.0335516	-0.0252972	-0.0023765	1064.15
0.0012278	0.0024398	-0.0809885	-0.0101914	-0.0326113	-0.0340689	-0.0255133	-0.0023744	1076.64
0.0011127	0.0024579	-0.0817325	-0.0100847	-0.0329133	-0.0340392	-0.0256744	-0.0023335	1089.15
0.0011463	0.0025755	-0.082447	-0.0100259	-0.0331618	-0.0344614	-0.0257658	-0.0022926	1101.65
0.0011154	0.0025209	-0.083141	-0.0100443	-0.0333614	-0.0348204	-0.0259734	-0.0022782	1114.14
0.0012584	0.0025562	-0.0838109	-0.0100433	-0.0337903	-0.0350275	-0.0262525	-0.0022355	1126.63
0.0012221	0.0024615	-0.0843695	-0.0100918	-0.0339835	-0.0353184	-0.0264357	-0.0022374	1139.11
0.0013311	0.0025096	-0.085736	-0.0093817	-0.0341858	-0.0356189	-0.0268959	-0.0022161	1151.61
0.0009779	0.0047754	-0.086029	-0.010046	-0.0344767	-0.0357954	-0.026625	-0.0021952	1164.1
0.0011851	0.0025763	-0.0853447	-0.0100599	-0.0344519	-0.0359458	-0.0271604	-0.0021541	1176.61
0.0012074	0.0024203	-0.0865632	-0.0106643	-0.0340413	-0.0359411	-0.026781	-0.0021564	1189.1
0.0013325	0.0026845	-0.0864825	-0.0100139	-0.0348195	-0.0362117	-0.0268901	-0.002143	1201.61
0.0013038	0.0026982	-0.0868243	-0.0100124	-0.0349738	-0.0363244	-0.0269553	-0.0020966	1214.17
0.0012636	0.0026447	-0.087139	-0.0100506	-0.0351313	-0.0364312	-0.0270574	-0.002101	1226.73
0.0013237	0.0026895	-0.0874315	-0.0100035	-0.0352483	-0.0366331	-0.02712	-0.0020771	1239.3
0.0013785	0.0027141	-0.0877697	-0.0100287	-0.0356161	-0.0369067	-0.0272005	-0.0020887	1251.86
0.0014243	0.0026584	-0.0880681	-0.0099908	-0.0356225	-0.036927	-0.0273139	-0.0020645	1264.39
0.0013693	0.0027577	-0.0885543	-0.0100748	-0.0357648	-0.0371469	-0.027492	-0.0020718	1276.95
0.0012419	0.0026059	-0.0887085	-0.0100697	-0.0358102	-0.0372665	-0.0274486	-0.0019679	1289.5
0.0015898	0.0026539	-0.0890951	-0.0099713	-0.0359572	-0.0373595	-0.0276049	-0.0020258	1302.08
0.0013668	0.0027373	-0.0894847	-0.0099429	-0.036168	-0.037547	-0.0276804	-0.002003	1314.64
0.0012626	0.0027926	-0.0898127	-0.0097628	-0.0363017	-0.0376855	-0.0278308	-0.0019951	1327.2
0.00134	0.0027817	-0.090274	-0.0099301	-0.0364525	-0.0378932	-0.0278875	-0.0019835	1339.77
0.0013013	0.0027541	-0.0906754	-0.0099837	-0.0367185	-0.0380078	-0.0280322	-0.0019128	1352.33
0.0015456	0.0027737	-0.0912008	-0.0100804	-0.0368221	-0.0383244	-0.0281755	-0.0019506	1364.84
0.0013966	0.0027332	-0.0916022	-0.0132737	-0.0371257	-0.0383674	-0.0282905	-0.0019379	1377.43
0.0013882	0.0028102	-0.0920203	-0.0100145	-0.0372494	-0.0386832	-0.028424	-0.001916	1390.02
0.0014347	0.0028147	-0.0925462	-0.0100116	-0.0376178	-0.0388262	-0.0285376	-0.0018835	1402.59
0.0014427	0.0028381	-0.0930655	-0.0100383	-0.0376882	-0.0391512	-0.0286402	-0.0018687	1415.18
0.001398	0.0029163	-0.0935146	-0.0099641	-0.0379758	-0.0393433	-0.0287874	-0.0018666	1427.76
0.0014681	0.0028654	-0.0940063	-0.0100008	-0.0380329	-0.039521	-0.0290173	-0.0018564	1440.31
0.0015167	0.0028381	-0.0944793	-0.0100056	-0.0383066	-0.0397745	-0.0291097	-0.0018133	1452.86
0.001431	0.0031334	-0.0957332	-0.0102128	-0.0386394	-0.0401485	-0.0293238	-0.0018316	1465.41
0.0014362	0.0028637	-0.0954444	-0.0099956	-0.038727	-0.0402358	-0.0293632	-0.0017602	1478.0
0.0015285	0.0027999	-0.0959916	-0.0099955	-0.0388114	-0.0423044	-0.0294094	-0.0017618	1490.58
0.002372	-0.0003506	-0.0956344	-0.0099086	-0.0393966	-0.0406738	-0.029685	-0.0017502	1503.15
0.0014802	0.0028965	-0.0968674	-0.0100199	-0.039359	-0.0408257	-0.029741	-0.0017692	1515.74
0.001528	0.003034	-0.0974302	-0.0099377	-0.0395312	-0.0410007	-0.0298966	-0.0016676	1528.32
0.0015429	0.0030202	-0.0979275	-0.0099469	-0.0397927	-0.0412856	-0.0308543	-0.0016942	1540.87
0.0014163	0.00329	-0.0984284	-0.0100381	-0.0400686	-0.0414928	-0.0302159	-0.0016929	1553.45
0.0015527	0.0029464	-0.0988271	-0.0100516	-0.0400651	-0.0416238	-0.030221	-0.0016552	1565.99
0.0015654	0.0030781	-0.0993171	-0.0099844	-0.040308	-0.0418989	-0.03009	-0.001627	1578.55
0.0015561	0.0030259	-0.0997693	-0.0099194	-0.0406073	-0.042139	-0.0305806	-0.0016202	1591.14
0.0015324	0.0030825	-0.1003355	-0.0099467	-0.0408652	-0.0423143	-0.0307028	-0.0015966	1603.73
0.0015996	0.0030832	-0.1009026	-0.0099577	-0.0410617	-0.0426505	-0.0308614	-0.0015763	1616.3
0.0016111	0.003125	-0.1014954	-0.0099292	-0.0413681	-0.0428497	-0.0310643	-0.0015502	1628.89
0.0016076	0.0031396	-0.1021615	-0.0100258	-0.0427032	-0.043277	-0.0311968	-0.001532	1641.47
0.0016308	0.0031373	-0.1028481	-0.0099756	-0.0419521	-0.043511	-0.0314355	-0.0014975	1654.02
0.0016948	0.003157	-0.1035409	-0.0099834	-0.0421934	-0.0438084	-0.0315892	-0.0014866	1666.58
0.0016327	0.0032132	-0.1042638	-0.0099872	-0.0425436	-0.044143	-0.0317654	-0.0014519	1679.14
0.0016719	0.0032701	-0.1051807	-0.0100099	-0.0428336	-0.0444715	-0.0319917	-0.0014247	1691.7
0.0016509	0.0032799	-0.1057834	-0.0099119	-0.0432373	-0.0448254	-0.0322208	-0.0013979	1704.32
0.0017342	0.003282	-0.1065926	-0.0098626	-0.0434888	-0.0452603	-0.0324882	-0.0013727	1716.89
0.0017927	0.0031969	-0.1072519	-0.0099542	-0.0439427	-0.0454728	-0.0328445	-0.0013669	1729.45
0.002018	0.0032461	-0.10826	-0.0099636	-0.0444674	-0.0466098	-0.0333365	-0.0013185	1742.06
0.0042537	0.0035201	-0.1113306	-0.009408	-0.0441737	-0.0462907	-0.0332003	-0.0012934	1754.84
0.0018893	0.0033022	-0.1098379	-0.0099892	-0.0450208	-0.046609	-0.0333992	-0.0012534	1767.46
