
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0017283	0.0001863	-0.073996	-0.0100041	-0.0290099	-0.0308889	-0.0224153	-0.0030358	689.76
-0.0017271	0.0002075	-0.0740498	-0.009913	-0.0290688	-0.030937	-0.0224862	-0.0030355	702.31
-0.0017071	0.0002102	-0.0741907	-0.0099674	-0.0290436	-0.0309608	-0.0224762	-0.0030364	714.86
-0.0017188	0.0001877	-0.0742575	-0.0099295	-0.0291213	-0.0310072	-0.0224918	-0.0030263	727.39
-0.0016393	0.000207	-0.0744135	-0.0099461	-0.029122	-0.0310498	-0.0225167	-0.0030048	740.0
-0.0016675	0.0002479	-0.0745109	-0.0099695	-0.0292242	-0.03112	-0.022585	-0.0029983	752.54
-0.0016958	0.0002169	-0.074627	-0.0099678	-0.0292589	-0.0311493	-0.0226099	-0.0030003	765.1
-0.001704	0.0002086	-0.0747344	-0.0099557	-0.0293407	-0.0312139	-0.0226523	-0.0030096	777.61
-0.0017054	0.000203	-0.0749155	-0.0099538	-0.0294056	-0.0312734	-0.0226965	-0.0029939	790.15
-0.0016483	0.0002083	-0.0750398	-0.0099802	-0.0294529	-0.0313926	-0.0226518	-0.0029909	802.67
-0.0016592	0.0002251	-0.0752194	-0.0099712	-0.0295335	-0.0314611	-0.0227413	-0.0029782	815.17
-0.0016582	0.0002168	-0.0753367	-0.0099288	-0.0295738	-0.0314657	-0.0227952	-0.002967	827.69
-0.001656	0.0001871	-0.0754647	-0.0099641	-0.0296553	-0.0315782	-0.0228027	-0.0029735	840.25
-0.0016948	0.0002101	-0.0756459	-0.009959	-0.0296721	-0.031614	-0.0228675	-0.0029773	852.84
-0.0016801	0.0002376	-0.0757163	-0.0099843	-0.0297121	-0.0316874	-0.0228933	-0.0029573	865.35
-0.0016775	0.0002264	-0.0758793	-0.0099657	-0.0298254	-0.0317124	-0.0229384	-0.0029611	877.93
-0.0016554	0.0002397	-0.075994	-0.009954	-0.0298881	-0.0317857	-0.0229412	-0.0029579	890.5
-0.0016886	0.0002015	-0.0760762	-0.0099473	-0.0299248	-0.0318174	-0.0229906	-0.002955	903.04
-0.0016788	0.0002658	-0.0762318	-0.0099757	-0.0299823	-0.0318685	-0.0229853	-0.0029367	915.6
-0.001689	0.0002415	-0.0763741	-0.0099032	-0.0300119	-0.0319502	-0.0230023	-0.0029314	928.16
-0.0016683	0.0002261	-0.0764503	-0.0099576	-0.0300717	-0.0319799	-0.0230788	-0.0029425	940.75
-0.0016237	0.0002377	-0.0765828	-0.0099746	-0.0301151	-0.0320174	-0.0231025	-0.0029217	953.27
-0.0016155	0.0002515	-0.0766929	-0.0099832	-0.0301768	-0.032072	-0.0231374	-0.0029279	965.86
-0.0016606	0.0002277	-0.0768062	-0.0099686	-0.0302284	-0.0321435	-0.0231815	-0.0029222	978.41
-0.0016643	0.0002322	-0.0769319	-0.0099491	-0.0302777	-0.0321967	-0.023198	-0.0028964	990.97
-0.0016722	0.0002266	-0.0770303	-0.0099697	-0.0303324	-0.0322471	-0.0232312	-0.0029106	1003.54
-0.001659	0.0002401	-0.0771659	-0.0099883	-0.0303924	-0.0322922	-0.0232235	-0.00289	1016.06
-0.0016437	0.0002407	-0.0772305	-0.0099604	-0.0304563	-0.0323292	-0.023249	-0.0028972	1028.59
-0.0016505	0.0002334	-0.0773589	-0.009977	-0.0304722	-0.0324188	-0.0233011	-0.0029069	1041.17
-0.0016703	0.00024	-0.0775369	-0.0099352	-0.0305246	-0.0324765	-0.0233222	-0.0028743	1053.71
-0.0016908	0.0001985	-0.0776429	-0.0099384	-0.0306154	-0.0325008	-0.0233791	-0.002887	1066.25
-0.0016617	0.0002416	-0.0777561	-0.0099656	-0.0306697	-0.0325735	-0.023413	-0.002877	1078.82
-0.0016438	0.0002536	-0.0778773	-0.00995	-0.0307245	-0.0325778	-0.0234186	-0.0028794	1091.35
-0.0016462	0.0002398	-0.07802	-0.0099587	-0.0307815	-0.03271	-0.0234784	-0.0028743	1103.92
-0.0016511	0.0002443	-0.0781418	-0.0099519	-0.0308761	-0.0327831	-0.0235212	-0.00285	1116.45
-0.0016448	0.0002413	-0.078249	-0.0099544	-0.0308774	-0.032811	-0.0235286	-0.0028575	1128.98
-0.0016542	0.000242	-0.0783952	-0.009924	-0.0309484	-0.0328464	-0.0235651	-0.0028462	1141.53
-0.0016577	0.0002349	-0.0785528	-0.0099649	-0.0310261	-0.0329051	-0.0236226	-0.0028548	1154.09
-0.0016583	0.0002483	-0.0786813	-0.0099552	-0.0311081	-0.0329405	-0.0236532	-0.0028246	1166.67
-0.0016539	0.0001737	-0.078863	-0.0098864	-0.0311984	-0.0330274	-0.02367	-0.0028122	1179.27
-0.0015852	0.0002571	-0.0790867	-0.0099536	-0.0312561	-0.0331664	-0.0237577	-0.0028352	1191.81
-0.0016144	0.0002525	-0.0792322	-0.0099757	-0.0313319	-0.0332616	-0.0238432	-0.0028143	1204.34
-0.001536	0.0003886	-0.0794703	-0.0099622	-0.0314392	-0.033377	-0.0238775	-0.0028166	1216.9
-0.0015821	0.0003583	-0.0796307	-0.0099672	-0.0315197	-0.0334593	-0.0239645	-0.0028171	1229.46
-0.0015363	0.0003643	-0.0799884	-0.0099678	-0.0316584	-0.0335829	-0.0240844	-0.0027832	1242.01
-0.0015127	0.0003707	-0.0805453	-0.009996	-0.0319807	-0.0338979	-0.0242191	-0.0027785	1254.62
-0.0014774	0.0004355	-0.0813301	-0.0099699	-0.0323403	-0.0342999	-0.0244633	-0.0027145	1267.18
-0.0014671	0.000447	-0.0822827	-0.0099552	-0.0328262	-0.0347381	-0.0247271	-0.0026767	1279.74
-0.001402	0.000429	-0.0835391	-0.009947	-0.0333709	-0.0352961	-0.0251366	-0.0026449	1292.29
-0.0014426	0.0004727	-0.0848434	-0.0099722	-0.0339501	-0.035957	-0.0254257	-0.0026125	1304.88
-0.0014438	0.0004567	-0.086262	-0.0099831	-0.0345984	-0.036589	-0.025804	-0.0025289	1317.46
-0.0014567	0.0004701	-0.087777	-0.0099452	-0.0352799	-0.0372561	-0.0262648	-0.002502	1330.03
-0.0014366	0.0004822	-0.0892693	-0.009939	-0.035928	-0.0379508	-0.0265983	-0.0024182	1342.59
-0.0013725	0.000492	-0.0908365	-0.0099398	-0.0366539	-0.0385691	-0.0270232	-0.002382	1355.18
-0.0013881	0.0004927	-0.0922989	-0.0099348	-0.0373209	-0.0392619	-0.0274685	-0.0023326	1367.75
-0.0013873	0.0005578	-0.0938173	-0.0099646	-0.0379715	-0.0399544	-0.0277983	-0.0022601	1380.36
-0.0013649	0.0005252	-0.0952504	-0.0099638	-0.0386129	-0.040514	-0.0281706	-0.0022054	1392.97
-0.0013408	0.0005918	-0.0965938	-0.0099392	-0.0391513	-0.0411387	-0.0285143	-0.0021708	1405.56
