
v1	v2	v3	v4	v5	v6	v7	v8	time
-1.17e-05	-9e-07	-1e-06	-4.9e-06	-1.32e-05	-7.6e-06	-3.6e-06	0.0008232	11.72
-5.3e-06	-1e-05	-1.33e-05	-4.3e-06	-1.7e-05	-2.02e-05	-5.2e-06	0.0008106	25.67
-7e-07	-7.8e-06	4.4e-06	9e-07	-1.03e-05	-6e-06	-1.48e-05	0.0008106	39.62
-1.39e-05	-1.49e-05	-3.51e-05	4.1e-06	-2.3e-05	-5.5e-06	-1.42e-05	0.0008175	53.59
-1.64e-05	-8.8e-06	-4.5e-06	-2.06e-05	3e-07	-1.3e-05	-2.7e-06	0.0008142	67.49
-1.03e-05	-1.33e-05	-7.7e-06	-1.67e-05	-7.6e-06	-1.2e-06	-4.6e-06	0.0008163	81.45
-1.2e-05	-2.02e-05	-6.4e-06	-1.25e-05	-2.35e-05	-3.7e-06	-1.97e-05	0.0008151	95.4
-1.21e-05	-1.01e-05	-1.17e-05	-8.2e-06	-1.29e-05	-1.24e-05	-7.4e-06	0.0008156	109.34
