
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0004097	-0.0027655	0.1772777	0.0099714	0.0739255	0.0771091	0.0502538	0.0008386	11.61
0.0004811	-0.0028539	0.177303	0.009966	0.0739136	0.077096	0.0502222	0.0008289	25.5
0.0004444	-0.0027771	0.177365	0.0099578	0.0739066	0.077145	0.0502309	0.0008204	39.38
0.0004398	-0.0027915	0.177337	0.0099544	0.0739094	0.0771488	0.050231	0.0008258	53.27
0.0004597	-0.0027646	0.1773158	0.0099481	0.0739138	0.0771257	0.050288	0.0008341	67.15
0.0004378	-0.0027852	0.1773325	0.0099512	0.0739223	0.0771082	0.0502482	0.0008311	81.06
0.0004516	-0.0027817	0.1773421	0.0098214	0.0739743	0.0771593	0.0502234	0.0008331	94.94
0.0003988	-0.0027319	0.1776323	0.009937	0.0739091	0.0771154	0.0502638	0.000839	108.81
