
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.002374	-0.0055016	0.1769087	0.0099588	0.0739834	0.0770526	0.051326	0.0008097	11.4616410732
-0.0023859	-0.0055046	0.1768773	0.0099515	0.0739247	0.0770315	0.051343	0.0008356	25.3959419727
-0.0024149	-0.0055044	0.1769072	0.0099792	0.073933	0.0770549	0.0513295	0.000825	39.3452370167
-0.002409	-0.0054884	0.1768829	0.0099521	0.0739158	0.0770325	0.0513253	0.0008165	53.2635350227
-0.0024003	-0.0054869	0.1768769	0.0099768	0.0739407	0.0770436	0.0513666	0.0008303	67.1168298721
-0.0024132	-0.005485	0.1769085	0.0099857	0.0738844	0.0770318	0.0513404	0.0008239	81.0351309776
-0.002411	-0.0054987	0.1769044	0.009982	0.0739219	0.0770707	0.0513307	0.0008329	94.9204280376
-0.0024103	-0.0054639	0.1769383	0.0099815	0.0739163	0.0770635	0.0513564	0.000822	108.854726076
