
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0014519	-0.0016743	0.1774887	0.0100155	0.0739058	0.0770047	0.0498176	0.0007707	11.64
0.0016717	-0.0016459	0.1774598	0.0099527	0.0737984	0.0770675	0.0498699	0.0008387	25.52
0.0015004	-0.0016933	0.1773686	0.0096866	0.0738457	0.0771121	0.0498288	0.0008315	39.37
0.0015781	-0.0016078	0.1774934	0.010091	0.0739014	0.0770197	0.049841	0.0008048	53.25
0.0015947	-0.0016278	0.177413	0.0099501	0.0738618	0.0768646	0.0497592	0.0008366	67.16
0.0015373	-0.0016455	0.1774682	0.0099604	0.0739334	0.0770459	0.0497953	0.0008794	81.04
0.001524	-0.0016587	0.1774929	0.0100204	0.0734686	0.0770372	0.0498148	0.0008476	94.94
0.0015405	-0.001656	0.1774569	0.0099636	0.0739046	0.0770513	0.0498154	0.0008477	108.88
