
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0052451	-0.0079867	0.177253	0.0099873	0.0742823	0.0770156	0.0527441	0.0008482	11.7
-0.0051767	-0.0079441	0.177301	0.0099423	0.0743102	0.0770165	0.0527894	0.0008605	25.64
-0.0052135	-0.0079577	0.1773132	0.0099869	0.0742852	0.0770607	0.0527447	0.0008425	39.52
-0.0052044	-0.0079399	0.1773305	0.0099895	0.0742506	0.077022	0.052781	0.0008531	53.39
-0.0051836	-0.0079493	0.1773335	0.0099482	0.0742794	0.0770103	0.0527786	0.0008661	67.28
-0.0051646	-0.0079821	0.1773461	0.0099078	0.0743358	0.0770287	0.0527464	0.000848	81.17
-0.0051739	-0.0079953	0.1773281	0.0100131	0.0742619	0.0767433	0.0522952	0.000887	95.07
-0.0051453	-0.0079223	0.177326	0.009993	0.0742674	0.0768643	0.0527675	0.0008356	108.9
