
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0002133	-0.0034573	0.1772805	0.0099755	0.0739742	0.07728	0.0505438	0.0007989	11.64
-0.0005399	-0.0033974	0.1772405	0.0099972	0.0739687	0.0771953	0.0505237	0.0008413	25.49
-0.0001991	-0.0034612	0.177277	0.0098629	0.0738629	0.0771404	0.0504921	0.000844	39.41
-0.0002816	-0.0034676	0.1772415	0.0099425	0.0739538	0.0771114	0.0500913	0.0008288	53.28
-0.0002109	-0.0034596	0.1772534	0.009992	0.0739373	0.0771429	0.0504933	0.0008413	67.2
-0.0002098	-0.0034054	0.1772983	0.0099477	0.0739002	0.0771243	0.0505117	0.0008423	81.08
-0.0002171	-0.0034713	0.1772627	0.0099451	0.0739459	0.0771824	0.0505149	0.0008435	94.97
-0.000262	-0.0034407	0.1773046	0.0099132	0.0739306	0.0771526	0.0505114	0.0008244	108.84
