
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0010425	-0.0043484	0.1769771	0.0099372	0.0738583	0.0770422	0.0507782	0.0008236	11.4402298927
-0.0010992	-0.0043708	0.1769586	0.0099734	0.0738543	0.077063	0.0507797	0.0008334	25.3585250378
-0.0011555	-0.0043049	0.1769756	0.0099658	0.0738993	0.0770245	0.0508343	0.0008262	39.2438189983
-0.0014305	-0.004175	0.1770177	0.0103681	0.0736733	0.0770011	0.0508591	0.0008213	53.0981879234
-0.0011729	-0.0043095	0.1769971	0.0099336	0.073408	0.0770621	0.0507898	0.0008429	66.9994139671
-0.0011042	-0.0043295	0.1770194	0.0099318	0.0738968	0.0770748	0.0508107	0.0008111	80.8697199821
-0.0011563	-0.0049835	0.1769824	0.0099481	0.0738866	0.0770946	0.0508242	0.0008327	94.7390120029
-0.0011972	-0.0043188	0.1770891	0.0099714	0.0739533	0.0770401	0.0508814	0.000829	108.64132905
