
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0015648	2.27e-05	-0.0472976	-0.0099413	-0.0172826	-0.0188652	-0.0154578	-0.0041489	675.54
-0.0015584	1.76e-05	-0.0472595	-0.0099486	-0.0172966	-0.018867	-0.0154808	-0.0041501	688.1
-0.0015502	1.2e-05	-0.047275	-0.0099867	-0.0172456	-0.0188409	-0.0155108	-0.0041588	700.65
-0.0015325	-2.47e-05	-0.0472409	-0.0099845	-0.0172722	-0.0188782	-0.0154942	-0.0041554	713.21
-0.0015544	2e-05	-0.0473107	-0.0099585	-0.0173138	-0.0188649	-0.0154899	-0.0041432	725.74
-0.0015526	4.98e-05	-0.0473239	-0.0099301	-0.0173042	-0.0188765	-0.0155075	-0.0041519	738.28
-0.0015754	4.36e-05	-0.0472913	-0.0099486	-0.0173002	-0.0188367	-0.0154826	-0.0041517	750.85
-0.0015359	-4e-07	-0.0473013	-0.0099634	-0.0172734	-0.0188742	-0.0155163	-0.0041489	763.4
-0.0015815	4.13e-05	-0.0473243	-0.0099497	-0.0172994	-0.0189087	-0.0155101	-0.0041507	775.97
-0.0015395	4.58e-05	-0.0473286	-0.009957	-0.017284	-0.0189049	-0.015444	-0.0041462	788.53
-0.0016023	6.81e-05	-0.0473096	-0.0099236	-0.0172934	-0.0189036	-0.0154688	-0.0041524	801.05
-0.0015761	3.5e-05	-0.0472985	-0.0099285	-0.0173143	-0.0188911	-0.0155324	-0.004149	813.6
-0.0015548	1.6e-05	-0.0473303	-0.0099891	-0.0173113	-0.0188543	-0.0155044	-0.0041509	826.16
-0.0015392	5.45e-05	-0.047341	-0.0099673	-0.0173063	-0.018888	-0.015429	-0.0041467	838.73
-0.0015306	5.91e-05	-0.0473605	-0.0099683	-0.0173098	-0.0189252	-0.0155115	-0.0041487	851.3
-0.0015688	4.72e-05	-0.0473391	-0.0099595	-0.0173207	-0.0188884	-0.0154936	-0.00415	863.88
-0.001566	5.68e-05	-0.0473222	-0.0099539	-0.0173127	-0.0188909	-0.0155262	-0.0041478	876.44
