
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0028101	0.0047655	-0.1786434	-0.0102853	-0.0749865	-0.0767876	-0.0515686	0.0008987	11.4
0.002725	0.0044556	-0.1786014	-0.0099585	-0.0750308	-0.0767235	-0.0515841	0.0008873	25.26
0.0027468	0.0044902	-0.1786834	-0.0099508	-0.075033	-0.0767525	-0.0516052	0.0008828	39.13
0.0027217	0.004459	-0.1786462	-0.009908	-0.0750204	-0.0768282	-0.0515713	0.000888	53.0
0.002703	0.0044452	-0.1786806	-0.0099307	-0.0749775	-0.0767494	-0.0516067	0.0008797	66.85
0.002805	0.0044405	-0.1786558	-0.0099689	-0.0750481	-0.0767515	-0.051584	0.000889	80.74
0.0019144	0.0046455	-0.1785807	-0.0099744	-0.0750345	-0.0767632	-0.051584	0.0008912	94.59
0.0027487	0.0044365	-0.1786988	-0.0100318	-0.0750473	-0.076724	-0.0515698	0.0008747	108.46
