
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0022616	0.0025831	-0.1775867	-0.0100521	-0.0737952	-0.0770501	-0.0489754	0.0010457	11.41
-0.0013408	0.0024127	-0.1777304	-0.009866	-0.0737974	-0.0771693	-0.0502028	0.0008872	25.25
-0.0008564	0.0024021	-0.1776494	-0.00995	-0.0739447	-0.0771672	-0.050296	0.0008946	39.14
-0.000745	0.0024448	-0.1776631	-0.0099696	-0.0739642	-0.0772048	-0.0502726	0.0008831	53.02
-0.000737	0.0024803	-0.1775589	-0.0107656	-0.0740498	-0.0771367	-0.0502726	0.0008872	66.88
-0.0007434	0.0024618	-0.1776669	-0.0099423	-0.0739661	-0.0772566	-0.0502851	0.0008796	80.73
-0.0007203	0.0024134	-0.1777475	-0.0096222	-0.0740269	-0.0772066	-0.0502139	0.0008792	94.57
-0.0007193	0.0023918	-0.1777908	-0.0100201	-0.074002	-0.0770654	-0.0502632	0.0008886	108.41
