
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0017521	0.0049188	-0.1774857	-0.0100439	-0.0740511	-0.0772311	-0.0512721	0.0008484	11.38
0.0017595	0.0049098	-0.1774831	-0.0099518	-0.0740117	-0.0773302	-0.0514518	0.0009189	25.24
0.0018227	0.0048644	-0.17736	-0.0098523	-0.0741808	-0.0772571	-0.0513497	0.0009039	39.08
0.0016979	0.0048706	-0.1775094	-0.0099852	-0.0740631	-0.07725	-0.0512906	0.0008884	52.9
0.0017496	0.0049309	-0.1774797	-0.0099654	-0.0740247	-0.0772642	-0.0513491	0.000902	66.75
0.0017104	0.0048973	-0.1774813	-0.0099479	-0.0740633	-0.0772658	-0.0513157	0.0009018	80.61
0.0017032	0.0049266	-0.1775315	-0.0099491	-0.0740925	-0.0772502	-0.0513145	0.0008864	94.46
0.0017335	0.0049324	-0.1775007	-0.0099687	-0.0741028	-0.0772224	-0.0513342	0.0008894	108.33
