
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0009296	0.0016232	-0.1785032	-0.0101786	-0.0744798	-0.0770044	-0.0659178	0.0008029	11.4
-0.001315	0.0014052	-0.1784103	-0.0099095	-0.0745216	-0.0765128	-0.0498117	0.0007357	25.26
-0.0009865	0.0014587	-0.1784002	-0.0099664	-0.0743451	-0.0771406	-0.0500854	0.0009461	39.09
-0.0012122	0.0015	-0.1784114	-0.0099587	-0.0743909	-0.077129	-0.0500545	0.0009025	52.96
-0.001264	0.0015021	-0.1783883	-0.0099717	-0.0743841	-0.0770978	-0.0500298	0.0009228	66.83
-0.0012255	0.0015061	-0.1783628	-0.0099693	-0.0744112	-0.0771298	-0.0500962	0.000871	80.66
-0.0015444	0.001266	-0.1784997	-0.0099645	-0.0743775	-0.0771423	-0.0500177	0.0009267	94.51
-0.0013248	0.0014769	-0.1783982	-0.0099892	-0.0743669	-0.0771563	-0.0499997	0.0008717	108.4
