
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0012636	0.0033192	-0.178638	-0.0096202	-0.0748692	-0.0766847	-0.0509627	0.0008831	11.47
0.0012944	0.0033026	-0.1786632	-0.0099167	-0.0749745	-0.0768049	-0.0509565	0.0008936	25.36
0.0013416	0.0033563	-0.1785889	-0.0099294	-0.0747615	-0.076849	-0.0509932	0.0008925	39.23
0.0013127	0.003399	-0.1786207	-0.0099485	-0.0748121	-0.0768558	-0.0509744	0.0008622	53.12
0.001263	0.0033608	-0.1785713	-0.0099299	-0.0748374	-0.0768723	-0.0510225	0.0009308	67.02
0.0013212	0.0033151	-0.178624	-0.0099429	-0.0748395	-0.0768364	-0.0510263	0.0008984	80.86
0.0012815	0.0033307	-0.1786137	-0.0099338	-0.0748342	-0.0768534	-0.0509918	0.0008981	94.73
0.0012895	0.0033402	-0.1785516	-0.0099408	-0.0748821	-0.0768567	-0.051047	0.0008754	108.56
