
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0004427	0.0033017	-0.1775919	-0.0099245	-0.0740276	-0.0772572	-0.0508085	0.0008853	11.43
0.0005996	0.0038362	-0.177596	-0.0099307	-0.074072	-0.0772542	-0.0509227	0.0008951	25.27
0.0008701	0.0040791	-0.1775561	-0.0099611	-0.0740839	-0.0772637	-0.0509782	0.0008946	39.13
0.0009904	0.0042232	-0.1775146	-0.0099687	-0.0740275	-0.0772345	-0.0509728	0.0008983	52.99
0.0009703	0.0041268	-0.1775528	-0.0102529	-0.0741934	-0.0771782	-0.0509492	0.0008847	66.84
0.000904	0.0041236	-0.1775061	-0.0099601	-0.074036	-0.0772646	-0.0510465	0.000892	80.71
0.0007886	0.0045166	-0.1774426	-0.0099832	-0.0740075	-0.0768528	-0.0508206	0.0009029	94.57
0.0008831	0.004158	-0.1775366	-0.0099167	-0.0740218	-0.0772731	-0.0509746	0.0008882	108.42
