
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0063549	0.008663	-0.1776088	-0.0099473	-0.0744968	-0.0769407	-0.0532787	0.0009958	11.41
0.006298	0.0086946	-0.1775984	-0.0099582	-0.0744766	-0.0768965	-0.0533123	0.0008829	25.26
0.0064112	0.0087396	-0.1775811	-0.00996	-0.074471	-0.0768946	-0.0532783	0.0008811	39.1
0.0062674	0.008743	-0.1775864	-0.0099377	-0.0745352	-0.0769216	-0.0532541	0.0008912	52.94
0.006155	0.0086285	-0.1775985	-0.0099565	-0.0744532	-0.0769679	-0.0532528	0.0008862	66.79
0.0061318	0.0085933	-0.1775729	-0.0099122	-0.0744667	-0.076982	-0.0531715	0.0008992	80.68
0.0062949	0.008594	-0.1774632	-0.0099774	-0.074414	-0.07691	-0.053214	0.0008916	94.52
0.0061053	0.008601	-0.1775273	-0.0099442	-0.0744162	-0.0769293	-0.0531742	0.0009013	108.35
