
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0015635	0.0013993	-0.1784707	-0.0099461	-0.0742612	-0.0772547	-0.0499715	0.0008896	11.65
-0.0016331	0.0012958	-0.1785059	-0.0099289	-0.0743341	-0.0772671	-0.049843	0.0009073	25.55
-0.0017533	0.0012308	-0.1783831	-0.0099232	-0.0743716	-0.077278	-0.0499977	0.0008687	39.4
-0.0015952	0.0012868	-0.1785083	-0.0099841	-0.0743394	-0.0772449	-0.0500184	0.0008793	53.27
-0.0016615	0.0015212	-0.1786778	-0.0099263	-0.0744109	-0.0773021	-0.0498797	0.0008984	67.14
-0.0014878	0.0013419	-0.1785227	-0.0100603	-0.074389	-0.0772529	-0.0499919	0.0008973	80.99
-0.00188	0.0001711	-0.1780265	-0.0103291	-0.0838972	-0.0747664	-0.0391959	0.0008097	94.86
-0.0016556	0.0012983	-0.1785824	-0.0100074	-0.0744424	-0.0773377	-0.0500027	0.0008726	108.72
