
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0059233	0.0072107	-0.1786594	-0.0099535	-0.0753334	-0.0765896	-0.0530755	0.0008648	11.43
0.0060548	0.0073377	-0.1786488	-0.009973	-0.0753194	-0.0765598	-0.0530339	0.0008157	25.29
0.005981	0.0072531	-0.1786052	-0.0100214	-0.0753477	-0.0766147	-0.0530473	0.0008707	39.14
0.0058766	0.0071608	-0.1786452	-0.0099282	-0.0753069	-0.0765779	-0.0529527	0.0009582	53.02
0.0058712	0.0071562	-0.1786455	-0.0099348	-0.0753187	-0.0766187	-0.0529572	0.0009735	66.94
0.0058593	0.0071718	-0.178653	-0.0099016	-0.0753158	-0.0766091	-0.0529682	0.0008817	80.81
0.0059595	0.0071422	-0.1791597	-0.0089036	-0.0752841	-0.0766226	-0.0529709	0.0007764	94.68
0.0058664	0.0071857	-0.1785975	-0.0099605	-0.0753302	-0.0766189	-0.0529022	0.0002538	108.57
