
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0073194	0.0085549	-0.1785659	-0.0099291	-0.0752808	-0.0765831	-0.0536624	0.0008796	11.42
0.0073355	0.0085892	-0.1785972	-0.0099001	-0.0753413	-0.0766499	-0.0537787	0.0008791	25.33
0.0071934	0.0086046	-0.1781677	-0.0098246	-0.075449	-0.0766364	-0.0536892	0.0008636	39.18
0.0072417	0.0085105	-0.1786484	-0.0100675	-0.0753951	-0.0766071	-0.0537386	0.0008797	53.05
0.0073118	0.0084992	-0.178528	-0.0099875	-0.0753867	-0.0765055	-0.0536474	0.0008789	66.92
0.0072507	0.0085271	-0.1785512	-0.0099668	-0.0753473	-0.0765901	-0.0536515	0.0008881	80.79
0.0072822	0.0085414	-0.178552	-0.0099633	-0.0753493	-0.0765633	-0.0536759	0.0008814	94.71
0.007314	0.0085626	-0.1785929	-0.0099732	-0.0753671	-0.0765438	-0.0537373	0.0008785	108.58
