
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0077545	0.0090807	-0.1782199	-0.0099924	-0.0752056	-0.0765572	-0.053896	0.0008742	11.44
0.0077125	0.0090696	-0.1782283	-0.0099744	-0.0752032	-0.0765681	-0.0538679	0.0008971	25.31
0.0076854	0.0090448	-0.178255	-0.0099363	-0.075191	-0.0765171	-0.0538596	0.0008983	39.16
0.0076343	0.0089822	-0.1783241	-0.0098763	-0.0751828	-0.0765572	-0.0537887	0.0008849	53.02
0.0077529	0.0090316	-0.1781322	-0.0099333	-0.0752128	-0.0766818	-0.0538055	0.000896	66.89
0.0076306	0.0089832	-0.1782795	-0.0099536	-0.0752236	-0.0764317	-0.0537255	0.0008875	80.74
0.0076512	0.0089785	-0.1783043	-0.0099428	-0.0751857	-0.0764949	-0.0538051	0.000891	94.64
0.0076312	0.0089235	-0.1782346	-0.0099229	-0.0751468	-0.0765585	-0.0538236	0.0008811	108.5
