
v1	v2	v3	v4	v5	v6	v7	v8	time
-0.0002871	0.0021519	-0.1784766	-0.0099561	-0.0745728	-0.0768449	-0.0504018	0.0008855	11.42
0.0009937	0.0025107	-0.1784979	-0.009928	-0.073053	-0.0770904	-0.0503814	0.0009029	25.32
-0.0002306	0.0021712	-0.178446	-0.0099855	-0.0745618	-0.0766078	-0.0503958	0.001051	39.19
-0.0002532	0.0021823	-0.1784964	-0.0099486	-0.0745387	-0.0769339	-0.0503498	0.0008746	53.08
-0.0002783	0.00217	-0.1784372	-0.0099753	-0.0745128	-0.076988	-0.0503812	0.0008905	66.96
-0.0003139	0.0021301	-0.17849	-0.0099311	-0.0745697	-0.076973	-0.0503857	0.0009033	80.85
-0.0002506	0.0021952	-0.1784465	-0.0099882	-0.0745823	-0.0769705	-0.0503915	0.0008983	94.73
-0.0002836	0.002153	-0.1784631	-0.0099273	-0.0745434	-0.0769385	-0.0504187	0.000897	108.6
