
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0074489	0.0094563	-0.177798	-0.0099957	-0.0747999	-0.0767799	-0.0538337	0.0008932	11.39
0.0075291	0.0094488	-0.1778889	-0.0099303	-0.0748584	-0.0767742	-0.0538707	0.0008904	25.3
0.0075601	0.0094731	-0.1779088	-0.0099602	-0.0748742	-0.0767289	-0.0538558	0.0008937	39.15
0.0075982	0.0094708	-0.1778974	-0.0099243	-0.0748189	-0.0768324	-0.0538418	0.0008816	53.02
0.0075415	0.0094689	-0.177857	-0.0100092	-0.0748303	-0.0768778	-0.0538797	0.0008996	66.87
0.0075355	0.0094641	-0.1779295	-0.009962	-0.0748379	-0.0767669	-0.0538749	0.0009015	80.73
0.0075589	0.0094881	-0.1778819	-0.01005	-0.0748839	-0.0767019	-0.0539086	0.0008864	94.55
0.0075353	0.0094502	-0.1778934	-0.0100182	-0.0753476	-0.0767143	-0.0538487	0.0008921	108.37
