
v1	v2	v3	v4	v5	v6	v7	v8	time
0.0045979	0.0060801	-0.1786834	-0.0100724	-0.0753414	-0.076571	-0.0523726	0.0009091	11.44
0.0045828	0.0059717	-0.1787027	-0.0099956	-0.0752752	-0.0767339	-0.0523273	0.0008978	25.27
0.0045822	0.0060306	-0.1786652	-0.0099489	-0.0752078	-0.0766872	-0.0523824	0.0009001	39.18
0.004551	0.0060315	-0.1786673	-0.0099412	-0.0752054	-0.076671	-0.0524255	0.0008516	53.06
0.004551	0.0059993	-0.1786792	-0.0099699	-0.0752205	-0.0766529	-0.0523724	0.0008404	66.93
0.0045914	0.0060248	-0.1786877	-0.0098705	-0.0752601	-0.0766565	-0.0524899	0.0008953	80.79
0.0045543	0.0060096	-0.1786715	-0.0099591	-0.0751474	-0.0766502	-0.0522958	0.0009037	94.67
0.0044868	0.0059908	-0.1786554	-0.0099222	-0.0752601	-0.0767523	-0.0523194	0.0009017	108.56
